OVR,Pos,Rank,Tier,Name
27,QB,QB1,1,Josh Allen
28,QB,QB2,1,Jalen Hurts
36,QB,QB3,2,Anthony Richardson
41,QB,QB4,2,C.J. Stroud
48,QB,QB5,2,Patrick Mahomes
53,QB,QB6,2,Jordan Love
60,QB,QB7,2,Lamar Jackson
66,QB,QB8,3,Joe Burrow
72,QB,QB9,3,Tua Tagovailoa
79,QB,QB10,3,Trevor Lawrence
146,QB,QB11,3,Kyler Murray
147,QB,QB12,3,Jared Goff
148,QB,QB13,3,Matthew Stafford
149,QB,QB14,4,Justin Herbert
150,QB,QB15,4,Caleb Williams
151,QB,QB16,4,Dak Prescott
152,QB,QB17,4,Jayden Daniels
153,QB,QB18,4,Brock Purdy
20,TE,TE1,1,Sam LaPorta
24,TE,TE2,1,Travis Kelce
30,TE,TE3,2,Mark Andrews
35,TE,TE4,2,Trey McBride
46,TE,TE5,2,Dalton Kincaid
54,TE,TE6,2,Evan Engram
64,TE,TE7,2,George Kittle
74,TE,TE8,3,Kyle Pitts
77,TE,TE9,3,David Njoku
80,TE,TE10,3,Jake Ferguson
111,TE,TE11,3,Dallas Goedert
117,TE,TE12,4,Brock Bowers
119,TE,TE13,4,Pat Freiermuth
123,TE,TE14,4,Dalton Schultz
126,TE,TE15,4,Hunter Henry
1,RB,RB1,1,Christian McCaffrey
6,RB,RB2,2,Bijan Robinson
9,RB,RB3,2,Breece Hall
11,RB,RB4,2,Saquon Barkley
12,RB,RB5,3,Jonathan Taylor
13,RB,RB6,3,Jahmyr Gibbs
15,RB,RB7,3,Rachaad White
17,RB,RB8,3,Kyren Williams
19,RB,RB9,3,Travis Etienne Jr.
25,RB,RB10,4,De'Von Achane
26,RB,RB11,4,James Cook
32,RB,RB12,4,Isiah Pacheco
33,RB,RB13,5,Derrick Henry
34,RB,RB14,5,Kenneth Walker III
37,RB,RB15,5,Joe Mixon
44,RB,RB16,5,Alvin Kamara
47,RB,RB17,5,James Conner
52,RB,RB18,6,Josh Jacobs
65,RB,RB19,6,Aaron Jones
68,RB,RB20,6,Rhamondre Stevenson
73,RB,RB21,7,David Montgomery
75,RB,RB22,7,Najee Harris
76,RB,RB23,7,D'Andre Swift
78,RB,RB24,7,Zamir White
82,RB,RB25,7,Raheem Mostert
85,RB,RB26,7,Javonte Williams
86,RB,RB27,8,Tony Pollard
88,RB,RB28,8,Devin Singletary
93,RB,RB29,8,Brian Robinson Jr.
95,RB,RB30,8,Jerome Ford
96,RB,RB31,8,Chase Brown
98,RB,RB32,8,Zack Moss
103,RB,RB33,8,Chuba Hubbard
104,RB,RB34,9,Austin Ekeler
105,RB,RB35,9,Tyjae Spears
106,RB,RB36,9,Gus Edwards
112,RB,RB37,9,Jaylen Warren
115,RB,RB38,9,Ezekiel Elliott
122,RB,RB39,9,Zach Charbonnet
124,RB,RB40,10,Antonio Gibson
125,RB,RB41,10,Jaleel McLaughlin
127,RB,RB42,10,Trey Benson
128,RB,RB43,10,Rico Dowdle
129,RB,RB44,10,J.K. Dobbins
130,RB,RB45,10,Blake Corum
131,RB,RB46,10,Tyler Allgeier
132,RB,RB47,10,Ty Chandler
133,RB,RB48,11,Jamaal Williams
134,RB,RB49,11,Ray Davis
135,RB,RB50,11,Roschon Johnson
136,RB,RB51,11,Khalil Herbert
137,RB,RB52,11,Alexander Mattison
138,RB,RB53,11,Miles Sanders
139,RB,RB54,11,Bucky Irving
140,RB,RB55,11,Clyde Edwards-Helaire
141,RB,RB56,11,Tank Bigsby
142,RB,RB57,11,Justice Hill
143,RB,RB58,11,D'Onta Foreman
144,RB,RB59,11,Tyrone Tracy Jr.
145,RB,RB60,11,Jaylen Wright
2,WR,WR1,1,Tyreek Hill
3,WR,WR2,2,Amon-Ra St. Brown
4,WR,WR3,2,Justin Jefferson
5,WR,WR4,2,Ja'Marr Chase
7,WR,WR5,3,A.J. Brown
8,WR,WR6,3,CeeDee Lamb
10,WR,WR7,3,Garrett Wilson
14,WR,WR8,4,Davante Adams
16,WR,WR9,4,Mike Evans
18,WR,WR10,4,Michael Pittman Jr.
21,WR,WR11,4,Puka Nacua
22,WR,WR12,4,Chris Olave
23,WR,WR13,5,Marvin Harrison Jr.
29,WR,WR14,5,Jaylen Waddle
31,WR,WR15,5,Drake London
38,WR,WR16,5,Amari Cooper
39,WR,WR17,5,Malik Nabers
40,WR,WR18,5,Nico Collins
42,WR,WR19,5,Cooper Kupp
43,WR,WR20,5,DK Metcalf
45,WR,WR21,6,Deebo Samuel Sr.
49,WR,WR22,6,DJ Moore
50,WR,WR23,6,DeVonta Smith
51,WR,WR24,6,Brandon Aiyuk
55,WR,WR25,6,Stefon Diggs
56,WR,WR26,6,Terry McLaurin
57,WR,WR27,7,Zay Flowers
58,WR,WR28,7,George Pickens
59,WR,WR29,7,Chris Godwin
61,WR,WR30,7,Christian Kirk
62,WR,WR31,7,Tee Higgins
63,WR,WR32,7,Rashee Rice
67,WR,WR33,7,Calvin Ridley
69,WR,WR34,7,Diontae Johnson
70,WR,WR35,7,Tank Dell
71,WR,WR36,7,Keenan Allen
81,WR,WR37,8,Xavier Worthy
83,WR,WR38,8,Jayden Reed
84,WR,WR39,8,Christian Watson
87,WR,WR40,8,Courtland Sutton
89,WR,WR41,8,Jaxon Smith-Njigba
90,WR,WR42,8,Ladd McConkey
91,WR,WR43,8,Rome Odunze
92,WR,WR44,8,Tyler Lockett
94,WR,WR45,9,Jordan Addison
97,WR,WR46,9,Jakobi Meyers
99,WR,WR47,9,Joshua Palmer
100,WR,WR48,9,DeAndre Hopkins
101,WR,WR49,9,Keon Coleman
102,WR,WR50,9,Khalil Shakir
107,WR,WR51,9,Jameson Williams
108,WR,WR52,9,Brian Thomas Jr.
109,WR,WR53,9,Romeo Doubs
110,WR,WR54,9,Mike Williams
113,WR,WR55,9,Rashid Shaheed
114,WR,WR56,9,Curtis Samuel
116,WR,WR57,9,Gabe Davis
118,WR,WR58,9,Brandin Cooks
120,WR,WR59,9,Jerry Jeudy
121,WR,WR60,9,DeMario Douglas
